Priority,Business Name,Type,phone_number,Rating,Reviews,Address,Maps Link,Website,Status,Roles Needed,Headcount,Next Follow-up,Notes
Manufacturing company,Euronics Industries Pvt. Ltd,manufacturer,+918010930930,4.1,85,"564-567, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=9312114626776695893&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://euronics.co.in/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Desiccant Rotors International Pvt. Ltd.,manufacturer,+911244188888,4.1,21,"Plot No 100-101, Udyog Vihar, Phase-IV, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=8160501274202548163&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.drirotors.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Aro Equipments Pvt. Ltd.,manufacturer,+911244585400,3.9,15,"300, Udyog Vihar II Rd, Phase II, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=11876977091301995200&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://aroequipments.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Sentiss Pharma Pvt Ltd,manufacturer,+911244951100,4.6,44,"261, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=5890639777764579927&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.sentisspharma.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Alok International / Ozar Tools / Alok tools,manufacturer,+919205298520,4.5,31,"PLOT No. 264, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=17151832630689444873&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.aloktools.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Weldforce International,manufacturer,+911244278267,4.9,8,"235, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=7156704476374300962&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://weldforce.net/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Tessile Clothing Pvt. Ltd.,manufacturer,+911244825952,3.9,35,"Plot No. 89, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=14712368396765601843&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.tessileclothing.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Ambadi Enterprises Limited,manufacturer,+911242398037,4.6,37,"Plot No-554, 554, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=15050396153143399025&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.ambadiindia.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Kunal Auto Industries,manufacturer,+919873631966,4.9,8,"IDC, 16 - 17, Mehrauli Rd, Industrial Development Area, Sector 16, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=13772822968758199018&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.kunalauto.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,ID Tech Solutions Pvt. Ltd.,corporate_office,+917428095584,4.3,133,"610, Udyog Vihar 3, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=13882125950036541123&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://idsolutionsindia.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Kerry Gurgaon,manufacturer,+911284266180,4.3,23,"Ground Floor, AIHP Palms, Plot no. 242 & 243, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=8248562879540753583&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.kerrygroup.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Jawa Pharmaceuticals (INDIA) Pvt. Ltd.,manufacturer,+911244017871,3.6,35,"129, Phase IV, Udyog Vihar, Sector gurgaon 12201518, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=4590561957615382800&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.jawapharma.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Alfa Therm Limited,manufacturer,+919958693942,4.5,72,"Building no: 431, Udyog Vihar Phase III, Udyog Vihar III, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=9413341907838238719&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.alfathermltd.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Circuitronix Pvt. Limited,manufacturer,+911244044921,3.6,19,"412-415, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=13580681966712782174&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.circuitronix.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Hindustan Power Instruments Pvt Ltd,manufacturer,+919810132728,4.6,8,"578, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=13774077051992001921&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,"MDH, Gurgaon",manufacturer,+911242340727,4.1,55,"216, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=7780083723622366966&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://mdhspices.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Electrolux Professional India,manufacturer,+919667548098,4.2,11,"6th Floor, Plot No.108, GoWork Building, Udyog Vihar Phase 1, Dundahera Village, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=13437065842020309916&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.electroluxprofessional.com/sg,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,HELLA India Autoparts and Services Private Limited,manufacturer,+9118001035405,4.5,10,"6A, 6th Floor, Platinum Tower, 184, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=1021736702791640789&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.shop4hella.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Bo International,manufacturer,+919311646267,4.3,510,"870, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=18146090596310689615&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.bointernational.net/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Neetee Apparel LLP,manufacturer,+911244294141,4.2,22,"218, Udyog Vihar, Phase I, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=10905471814539667998&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.neetee.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Astaberry - Ivia Beaute Pvt Ltd.,manufacturer,+9118005728100,4.3,39,"501, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=488291624428279588&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.astaberry.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Benson Medical Equipments (India) Pvt. Ltd.,manufacturer,+917303100770,4.1,9,"WeWork, Blue 1 Square, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=11532886149820661296&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://bensonmedicalindia.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Nipa International (P) Ltd,corporate_office,+911244001110,4,94,"412, 411, Bike Ln, Udyog Vihar III, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=2987455356899744585&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Ganga Overseas (P) Limited,,+911242871111,5,4,"647-648, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=14903626520804661015&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.gangaoverseas.in/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,A&D Instruments India Private Limited,manufacturer,+911244715555,4.4,28,"D, 48, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=10551175688948831765&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://aanddindia.in/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Spectross Digital Systems Pvt. Ltd.,manufacturer,+911244006323,5,2,"483, Floor-II, Udyog Vihar Phase V, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=7072328082153147663&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.spectross.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,ESP Safety Pvt. Ltd.,manufacturer,+914956332244,3.6,17,"Plot No- 528- 529, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122008, India",https://maps.google.com/?cid=16740341778503994472&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.esp-safety.in/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,High Street Lighting Pvt.Ltd,manufacturer,+911244210776,4.3,23,"10, Tenon Ln, Electronic City, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=3937368871339051815&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.highstreetlighting.in/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Paltech Cooling Tower & Equipments Limited,manufacturer,+911244499700,3.9,15,"Plot No. 774, IInd Floor, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=14040969583223923465&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.paltech.in/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,IL PRECISION TECHNOLOGY,manufacturer,+919582004646,4.5,10,"649, Udyog Vihar Phase V Rd, Udyog Vihar 3, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=4548179595776740574&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://ilpttools.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,D Agarwal Packers and Movers Gurgaon,manufacturer,+919650591100,4.9,106,"67, Udyog Vihar Phase V Rd, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=3465937522817856342&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://dagarwalpackers.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,"DIGI SYSTEM GURGAON PVT LTD(Unit of Teraoka/DIGI,Japan)",manufacturer,+918130650022,5,5,"774, GF, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=11726993203200520488&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://digisystem.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Manufacturing company,Jbm,manufacturer,+911244674500,4,69,"MSIL Mullahera, Plot 5, Maruti Udyog, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=12101828636713185057&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.jbm-group.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Factory,Mectech Knitfabs 330,manufacturer,+911244700800,4.2,13,"330, Udyog Vihar II Rd, opposite SBI Bank, Phase II, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=9803999401908044038&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://mectechknitfabs.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Factory,Roti Factory,food,+919810739747,4.1,11,"169, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=16480583594837735745&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://rotifactory.in/,New,"Helper, Machine Operator, Packer, Loader",,,
Factory,Renovation Factory,furniture_store,+919289158882,4.1,14,"298, Phase II, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=3451409480317548363&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.renovationfactory.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Factory,Coca Cola Factory,finance,+918133308264,4,24,"295, Udyog Vihar II Rd, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=12792728472028228100&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,New,"Helper, Machine Operator, Packer, Loader",,,
Factory,Richa Global Export,,+911244513500,4.2,264,"219, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=2503747824281405797&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.richaglobal.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Factory,Young Fashion Family Store's,manufacturer,+911244002305,4.4,23,"Head Office, 425, Phase III, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=14612359352486731281&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.youngfashionstores.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Factory,Renuka Exports Pvt. Ltd.,,+911244006641,4.4,33,"723, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=1073370379215804328&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.renukaexports.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Factory,Maruti Suzuki India Limited,manufacturer,+911244392265,4.3,1698,"Maruti Udyog, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=11729357833208171568&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.marutisuzuki.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Factory,Friends Garments,,+911244004204,4.5,17,"605, Udyog Vihar Phase V Rd, Udyog Vihar 3, Phase III, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=4981541417129581810&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.friendsgarments.in/,New,"Helper, Machine Operator, Packer, Loader",,,
Factory,Choko La | Cosmic Kitchen Pvt Ltd,chocolate_shop,+919910457772,4.1,309,"Plot 131, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=861449156384231073&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://chokola.in/,New,"Helper, Machine Operator, Packer, Loader",,,
Factory,Gypsum Structural India Pvt Ltd,corporate_office,+911244232703,4.5,34,"84-B, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=12486725885506200800&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.gypsum.in/,New,"Helper, Machine Operator, Packer, Loader",,,
Factory,Samridhi Crreation,manufacturer,+911244308167,4.5,18,"Plot No, 624, Udyog Vihar Phase V Rd, near Trident Hotel, Udyog Vihar 3, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=13724625629994978339&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.samridhicrreation.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Factory,Ess & Bee International,,+911244969550,4.5,20,"Plot no 669, 670, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=10002556250856894256&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,New,"Helper, Machine Operator, Packer, Loader",,,
Factory,"Elcon Components Pvt Ltd, 50 Udyog Vihar Phase IV",,+911244786100,3.8,5,"50, Jaipur - Delhi Expy, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=4802949097516541384&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,New,"Helper, Machine Operator, Packer, Loader",,,
Factory,AVL India Private Limited,service,+911244090300,4.3,906,"376-377, Rao Gajraj Singh Marg, near Maruti Udyog Ltd, Electronic City, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=10539734850744917069&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.avl.com/,New,"Helper, Machine Operator, Packer, Loader",,,
Factory,Craft and Glory,manufacturer,+918826192277,4.1,286,"BUILDING NO. 20, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=12703546476308810022&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://craftandglory.in/,New,"Helper, Machine Operator, Packer, Loader",,,
Factory,Jyoti Apparels Unit-I,,+911140515900,4.3,27,"158, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=11932464855443231609&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.jyotiapparels.com/,New,"Helper, Machine Operator, Packer, Loader",,,
