Priority,Business Name,Type,Phone,Rating,Reviews,Address,Maps Link,Website
B - Fast Food,Nirula's Guru Dronacharya,fast_food_restaurant,1800 102 5247,3.7,3,"GARDEN ESTATE, Mehrauli-Gurgaon Rd, Garden Estate, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=9309886465348350130&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://nirulas.com/
B - Fast Food,As Fast Food,fast_food_restaurant,081301 12845,5,2,"Sarhaul, Sector, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=10209979967241544458&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
B - Fast Food,BONABITE,fast_food_restaurant,097287 70606,5,2,"111, Basment Market, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=3799031687496428702&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://link.zomato.com/xqzv/rshare?id=57400934305630f6
B - Fast Food,B. S. Food,fast_food_restaurant,096674 21700,3,2,"a, 3-113, Nathupur, Sector 26A, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=850088673982280414&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
B - Fast Food,Vikash Dosa Point,fast_food_restaurant,099588 59069,5,1,"OFFICE, GLOBAL BUSINESS PARK, Sikanderpur, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=17571728540080873100&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
B - Fast Food,Ashok Fast Food,fast_food_restaurant,079959 04620,5,1,"Shop No.28, Sector 21A, Sector 28, Dundahera Village, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=6439421239740126621&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
B - Fast Food,Jitendra Kumar fast food,fast_food_restaurant,085955 98382,,,"Sector 28A, Chakkarpur, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=2012327491888487860&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
B - Fast Food,Momo king,fast_food_restaurant,092201 27333,,,"01, Ram Maher Residency, Sikanderpur, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=12453372086123602745&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
B - Fast Food,TRANSPORT INDIA PASS,fast_food_restaurant,072900 00731,,,"Shaheed Ripon Katyal Marg, Sarhaul, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=15555307316125719225&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
B - Fast Food,PATIENCE Food Cafe,fast_food_restaurant,095480 20337,,,"Sarhaul, Sector 18, Sarhol, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=1479882483586289900&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
B - Fast Food,Sauth Indian Fast Food,fast_food_restaurant,076697 00320,,,"Shop No 99, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=6799211231737307393&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
B - Fast Food,Chinese Live Counter,fast_food_restaurant,095215 70040,,,"U 51, 2, Balveer Market, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=17961440526549652215&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
C - Restaurant,GOODGAON (BILLU'S PARANTHA),restaurant,078275 65203,4.4,866,"Shop No. 1Shree, Krishna Chowk, Anfilco Housing Colony, Sector 22A, Sector 22, Gurugram, Haryana 122022, India",https://maps.google.com/?cid=2530156320808020333&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
C - Restaurant,Rajpoot Dhabha,north_indian_restaurant,097180 15627,4.1,475,"375, Rao Gajraj Singh Marg, Electronic City, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=11054752963975514689&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,
C - Restaurant,GOOD FLIPPIN' BURGERS®,hamburger_restaurant,1800 202 3312,4.8,429,"Rao Gajraj Singh Marg, Plot 651 & 652, Phase 5, Udyog Vihar 3, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=17855605412921148279&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://stores.goodflippin.com/store-pages/good-flippin-burgers-udyog-vihar-gurugram/
