name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
"Cult Sushant Lok, Phase 1 | Best Fitness Center in Sushant Lok Sector 43, Gurugram",fitness_center,fitness_center|yoga_studio|sports_coaching|sports_school|sports_complex|gym|sports_activity_location|sports_club|association_or_organization|health|point_of_interest|establishment,074067 95951,https://www.cult.fit/cult/center/gurgaon-sec-43/cult-sushant-lok-phase-1/304?utm_source=gmb&utm_medium=organic,"2nd Floor, ROF Portico, 1540-1548, Vyapar Kendra Rd, above Chaayos, Block C, Sushant Lok Phase I, Kanahi, Gurugram, Haryana 122003, India",4.4,117,OPERATIONAL,https://maps.google.com/?cid=5716233673975469045&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJGUOYgjUZDTkR9RNvlj0kVE8
Protense By Intense Rigour | Vitamin & Supplements Shop,food_store,food_store|store|point_of_interest|food|establishment,,https://protense.in/,"1st Floor, ROF Portico, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.4,7,OPERATIONAL,https://maps.google.com/?cid=2623477328834472693&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJh01pBaQZDTkR9Sp4Fbt2aCQ
Cafe Dakia,pizza_restaurant,pizza_restaurant|restaurant|point_of_interest|food|establishment,088820 06127,,"ROF PORTICO I, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.5,411,CLOSED_TEMPORARILY,https://maps.google.com/?cid=2105818439095890535&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJzd45fA0ZDTkRZzLHl7ZeOR0
Dost Haus Cafe & Coffee,point_of_interest,point_of_interest|establishment,,,"F33J+5VW, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.2,5,OPERATIONAL,https://maps.google.com/?cid=12280730484063532238&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ4TEwqsEYDTkRzvTqJE_rbao
Ekdum! Biryani.Kebabs.More,indian_restaurant,indian_restaurant|restaurant|point_of_interest|food|establishment,092896 89333,https://ekdumbiryani.com/,"Ground Floor, New Shop No. GF 19 & 20,Old, Shop No. GF 25, 26 & 27, ROF PORTICO, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",3.9,37,OPERATIONAL,https://maps.google.com/?cid=7201312819410738114&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJtdbedvcZDTkRwptx5doz8GM
Mosman square Australian salon and laser,shopping_mall,shopping_mall|point_of_interest|establishment,092172 92352,https://www.mosmansquare.com/,"Shop No.20, ROF Portico, mall, Block C, South City II, Sector 43, Gurugram, Haryana 122009, India",5,6,OPERATIONAL,https://maps.google.com/?cid=12339619288392114904&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJsUDNEeMjDTkR2KIrXF0iP6s
Kiros Unisex Salon,beauty_salon,beauty_salon|hair_salon|hair_care|service|point_of_interest|establishment,098999 20150,,"Rof portico, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.6,251,OPERATIONAL,https://maps.google.com/?cid=5383629659366805745&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJPTUsOYUZDTkR8dDQyKZ-tko
ROF PORTICO,shopping_mall,shopping_mall|bakery|food_store|store|point_of_interest|food|establishment,099990 36154,,"I, Vyapar Kendra Rd, Sushant Lok, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.3,859,OPERATIONAL,https://maps.google.com/?cid=2681467007891123348&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ05J3qsEYDTkRlKxHYgl8NiU
Winterfell,apartment_complex,apartment_complex|service|point_of_interest|establishment,,,"1757, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4,2,OPERATIONAL,https://maps.google.com/?cid=15326982310644339021&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJWTzlHhYZDTkRTdGmqDRhtNQ
North of the wall,apartment_building,apartment_building|service|point_of_interest|establishment,,,"1776, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",5,1,OPERATIONAL,https://maps.google.com/?cid=625535872590669697&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJPwOd88cZDTkRgecH2I9Zrgg
