name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
Aadhar Mectech Private Limited,storage,storage|point_of_interest|establishment,072900 90883,,"Mustatil 41 Killa No. 2 & Mustatil, 37 Killa No. 19, Border, behind IGL CNG Pump, D Block, Kapas Hera, New Delhi, Delhi 110097, India",4,4,OPERATIONAL,https://maps.google.com/?cid=15600952477541311643&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ43dmcV8ZDTkRm6SZ9Z63gdg
Mann tours,transportation_service,transportation_service|point_of_interest|establishment,,,"Firm No 1, D Block, Kapas Hera Estate, New Delhi, Delhi 110097, India",4.3,23,OPERATIONAL,https://maps.google.com/?cid=4184831094925951638&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJRzul7BcZDTkRlgISarWBEzo
Pace Fleet Management Pvt Ltd,transportation_service,transportation_service|point_of_interest|establishment,011 4603 7207,,"NH48, Khasra No 34/16 Ground floor, D Block, Kapashera, Delhi, New Delhi, Delhi 110097, India",3.8,19,OPERATIONAL,https://maps.google.com/?cid=315935438010491750&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJr-4RK-QbDTkRZqOSYpttYgQ
DTDC COURIER,government_office,government_office|point_of_interest|establishment,098185 53051,,"540, Rajokri Village, Rajokri, New Delhi, Delhi 110038, India",5,1,OPERATIONAL,https://maps.google.com/?cid=9698622234645549008&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ-bK-s9kfDTkR0M_AcoltmIY
"Euro Cars, New Delhi",taxi_service,taxi_service|transportation_service|service|point_of_interest|establishment,022 4939 4949,,"3, Unnamed Road, Rajokri Village, Rajokri, New Delhi, Delhi 110038, India",4.6,26,OPERATIONAL,https://maps.google.com/?cid=13879641910072839540&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJk4TBqrgfDTkRdA2Em8dknsA
Pushpendra Namdev,taxi_service,taxi_service|transportation_service|service|point_of_interest|establishment,,,"Dwarka Sector 14, near Metro Station, Kapas Hera Extension, Kapas Hera, New Delhi, Delhi, 110097, India",5,1,OPERATIONAL,https://maps.google.com/?cid=985516830183277476&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ69woHRwbDTkRpEM-51VCrQ0
Pappu khan,storage,storage|point_of_interest|establishment,,,"G39G+J59, Kapas Hera Extension, Kapas Hera, New Delhi, Delhi 110097, India",1,1,OPERATIONAL,https://maps.google.com/?cid=6198149423129747656&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJCc-wTXYbDTkRyOBwpg9ABFY
Sharma transport service,transportation_service,transportation_service|point_of_interest|establishment,,,"102, Kapas Hera Extension, Kapas Hera, New Delhi, Delhi 110097, India",3,2,OPERATIONAL,https://maps.google.com/?cid=7537343631437887113&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJhxmr0x8bDTkRiXboJRkGmmg
SHREE SHYAM DHRAM KATA,bridge,bridge|transportation_service|point_of_interest|establishment,,,"KH NO-39, 3 BAGH WALI, Gali Number 2, Surya Vihar, Kapas Hera, New Delhi, Delhi 110097, India",5,2,OPERATIONAL,https://maps.google.com/?cid=11839885721616592388&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJJ8PNvFkbDTkRBC4tWlW5T6Q
Soniya tour and travels munaa ji,tour_agency,tour_agency|travel_agency|transportation_service|service|point_of_interest|establishment,,,"G39J+P9J, Main Rd, Kapas Hera Extension, Kapas Hera, New Delhi, Delhi 110097, India",,,OPERATIONAL,https://maps.google.com/?cid=11367831412387194155&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJrZ3KUwAbDTkRK6XdsXCmwp0
