name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
Manhattan Apartments 1/6,apartment_building,apartment_building|service|point_of_interest|establishment,,,"1/6, Mehrauli-Gurgaon Rd, Garden Estate, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",4,18,OPERATIONAL,https://maps.google.com/?cid=12125600750445619093&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJo0opUi0ZDTkRlWeFaqPJRqg
Urban Nest 1RK,apartment_building,apartment_building|service|point_of_interest|establishment,084487 95667,https://urbannest1rk.in/,"H.No.18, Gali, No.33, S Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",5,2,OPERATIONAL,https://maps.google.com/?cid=6578931563996622700&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJkbiVHHwZDTkRbK-fmWYPTVs
Arvend Hospital,hospital,hospital|health|service|point_of_interest|establishment,099102 97981,,"F4P2+28Q, DLF City, DLF Phase 3, Sector 24, Sikanderpur Ghosi, Gurugram, Haryana 122010, India",,,OPERATIONAL,https://maps.google.com/?cid=756090744625611457&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ____Py0ZDTkRwcJeu4Ysfgo
Tiny Tot Play School & Day Care,school,school|educational_institution|point_of_interest|establishment,096672 79125,,"S 47 S Block Dlf Phase 3 Sector 24 Gurugram, 9, Road No S 47, S Block, Dlf Phase 3, Sector 24, Gurugram, DLF City, DLF Phase 3, Sector 24, Delhi NCR, Gurugram, Haryana 122010, India",,,OPERATIONAL,https://maps.google.com/?cid=17457823849063499704&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJczp0EC0ZDTkRuMfFkkumRvI
Nuevo Polymers,corporate_office,corporate_office|point_of_interest|establishment,0124 427 0494,http://nuevopolymers.net/,"W6, 13, S Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",,,OPERATIONAL,https://maps.google.com/?cid=16700841139583646555&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJl6gXaC0ZDTkRW_scF4hOxec
shrreenie,buffet_restaurant,dessert_restaurant|buffet_restaurant|restaurant|food|point_of_interest|establishment,098992 20835,https://www.instagram.com/shrreenie/,"V28, 13, S Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",,,OPERATIONAL,https://maps.google.com/?cid=1645270314330465872&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ_cTB3bIZDTkRUKYpRaIs1RY
ARTODIUM,point_of_interest,point_of_interest|establishment,,,"S Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",5,1,CLOSED_TEMPORARILY,https://maps.google.com/?cid=7706011995204700476&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJg3ewAwAfDTkRPEkT2RRB8Wo
Gurgaon Valley School,school,school|educational_institution|point_of_interest|establishment,,https://ridgevalleyschool.org/,"2, Garden Estate, Nathupur, Sector 24, Gurugram, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=14355481622263188418&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJA-KdAi0ZDTkRwkulEnrqOMc
Priyanka.mk,makeup_artist,makeup_artist|point_of_interest|establishment,092668 27609,,"Garden Estate, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",5,10,OPERATIONAL,https://maps.google.com/?cid=10233150685510187117&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJOYsbFRcZDTkRbTjhtlR0A44
Ahuja Apartments,apartment_building,apartment_building|service|point_of_interest|establishment,,,"U -64, 37, Garden Estate, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",,,CLOSED_TEMPORARILY,https://maps.google.com/?cid=13032955690083075734&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJjWRRg2gZDTkRlsbOCCZc3rQ
StudioOnCloud,service,point_of_interest|service|establishment,,http://www.studiooncloud.com/,"S-24/3, S Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",5,8,OPERATIONAL,https://maps.google.com/?cid=7736348747113863272&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJj9B6HvsZDTkRaJhCUjIIXWs
S 25/1 DLF Phase 3,apartment_building,apartment_building|point_of_interest|service|establishment,,,"S 24, H-3 Rd, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=1274332016977893168&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJr0ovNlYfDTkRMNffvTdWrxE
Akshaya Patra,non_profit_organization,non_profit_organization|association_or_organization|point_of_interest|establishment,080 3014 3400,https://www.akshayapatra.org/,"F4M3+HVJ, Garden Estate, Nathupur, Sector 24, Gurugram, Haryana 122010, India",5,2,OPERATIONAL,https://maps.google.com/?cid=10679967049311851314&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ50Y50U8fDTkRMhMcS3LdNpQ
Hare Krishna Movement office,corporate_office,corporate_office|point_of_interest|establishment,,,"S/7/45, Garden Estate, Nathupur, Sector 24, Gurugram, Haryana 122010, India",4.9,7,OPERATIONAL,https://maps.google.com/?cid=14610273083005458476&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJQU7P6isfDTkRLNj93_Udwso
Wedding Photographer | PK Suri Worldwide Studios,service,point_of_interest|service|establishment,098671 89997,https://pksuri.com/,"2nd floor, Plot no 1, Road No. S-25, Near CGS Veterinary Hospital DLF City Phase III, Nathupur, Sector 24, Gurugram, Haryana 122010, India",5,2,OPERATIONAL,https://maps.google.com/?cid=17049082844643672237&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJmdd2bCUZDTkRrUAxbYSCmuw
Modus Design Studio,corporate_office,corporate_office|point_of_interest|establishment,,https://www.modusdesignstudio.co.in/,"24/7, South 11th Rd, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",4.7,3,OPERATIONAL,https://maps.google.com/?cid=12410763761383682873&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJOUUFid8fDTkRObOQzOLjO6w
Millora Cyber Suites,hotel,hotel|lodging|point_of_interest|establishment,096501 22240,,"24/1, S Block Main Rd, S Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",4.9,64,OPERATIONAL,https://maps.google.com/?cid=9350971915176428413&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJEYdOCQAfDTkRfcO-zGlTxYE
"Shreejee Niwas, S-24/8, Sector 24, DLF Phase 3",apartment_building,apartment_building|point_of_interest|service|establishment,,,"F4M3+WQ4, Garden Estate, Nathupur, Sector 24, Gurugram, Haryana 122010, India",,,OPERATIONAL,https://maps.google.com/?cid=2404119967307098887&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJYcCkBYIfDTkRB2vDaF8mXSE
YOUR HIGHNESS GIRLS PG,service,point_of_interest|service|establishment,081975 07842,,"S-24/1, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",5,1,OPERATIONAL,https://maps.google.com/?cid=16922394313452838845&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJN26ddHQfDTkRvV9yKvhr2Oo
Pooja Salon & academy,beauty_salon,beauty_salon|educational_institution|point_of_interest|service|establishment,099103 00084,http://www.poojamakeoversalon.com/,"S-24/1, near Neelkanth Hospital, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",4.6,114,OPERATIONAL,https://maps.google.com/?cid=1686477258375305336&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJa0imRtIZDTkReBg8kyGSZxc
Mesmerize Weddings & Special Events,service,point_of_interest|service|establishment,,,"Second Floor, S 22/12, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",5,5,OPERATIONAL,https://maps.google.com/?cid=15947320470905263738&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ1cNISQ0fDTkRepafy3lDUN0
