name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
The Artisan Edit,market,market|point_of_interest|establishment,096258 35108,https://theartisanedit.in/,"Ashoka Cresent Marg, DLF Phase 1, Sector 26A, Gurugram, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=2065951874927900450&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJGZ3zgB4ZDTkRIjchzEi8qxw
Chaudhry,apartment_complex,apartment_complex|service|point_of_interest|establishment,,,"6, Block C, Sector 26A, Gurugram, Haryana 122002, India",,,CLOSED_TEMPORARILY,https://maps.google.com/?cid=1456584915380391999&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJA4xCPwAZDTkRP9BwYkPUNhQ
Misty Peaks - Organic Cotton Towels & Luxury Soaps,store,home_improvement_store|home_goods_store|store|point_of_interest|establishment,081782 09186,,"B-3/12, DLF Phase 1, Sector 26A, Gurugram, Haryana 122002, India",4.9,14,OPERATIONAL,https://maps.google.com/?cid=10704431577078359211&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJKyQDHOQZDTkRq-Q6Cs7HjZQ
Talwars Residence,housing_complex,housing_complex|service|point_of_interest|establishment,,,"B 3/11, Block B, Sector 26A, Gurugram, Sikanderpur Ghosi, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=5837030701180219221&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJc6QtWQAZDTkRVW_lLn9MAVE
Aarambh,service,service|point_of_interest|establishment,,,"F492+Q52, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",5,2,OPERATIONAL,https://maps.google.com/?cid=827420326195317383&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJpbBdRwAZDTkRh0rPHmeWews
303 m docktor,doctor,doctor|health|point_of_interest|establishment,,,"B 3/13 DLF phase I, near Oposite b block park, Block B, Sector 26A, Gurugram, Sikanderpur Ghosi, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=6213961578593374672&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJRRYuSQAZDTkR0NH7-yFtPFY
Innerquest With Sadhna,wellness_center,wellness_center|health|point_of_interest|establishment,,https://calendly.com/iqwithsadhna,"B, Khanna house, DLF Phase 1, Sector 26A, Gurugram, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=3252288468264006029&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ-xfFozgZDTkRjbH5aSFzIi0
Dr Pankaj Verma Innerquest,doctor,doctor|health|point_of_interest|establishment,072310 31111,http://drpankajverma.in/,"B 2/18, DLF Phase 1, Sector 26A, Gurugram, Haryana 122002, India",4.8,13,OPERATIONAL,https://maps.google.com/?cid=10559353875145134102&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJtWbmr1sZDTkRFpCrUWdcipI
Shri Ram,restaurant,restaurant|food|point_of_interest|establishment,,,"F492+P3P, B-4 Rd, Block B, Sector 26A, Gurugram, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=4584486038852834124&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJL9RaLwAZDTkRTJOPP8Ndnz8
INNERQUEST,health,health|service|point_of_interest|establishment,0124 430 1900,http://sadhnamehta.in/,"B 2/ 18, DLF Phase 1, Sector 26A, Gurugram, Haryana 122002, India",4.7,6,OPERATIONAL,https://maps.google.com/?cid=9647055087297033812&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ1yTU6NIYDTkRVPb2Vn054YU
