name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
Indian Overseas Bank,bank,bank|finance|point_of_interest|establishment,089259 51935,https://locate.iob.in/indian-overseas-bank-nhb-gurgaon-public-sector-bank-sector-18-gurugram-379503/Home,"Plot No 85, Institutional Area, Sector 18, Gurugram, Haryana 122015, India",3.3,21,OPERATIONAL,https://maps.google.com/?cid=16087377343856841362&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJtdemgBAZDTkRkhJBrHXYQd8
"Block F, FCI RESIDENTIAL COMPLX",government_office,government_office|point_of_interest|establishment,,,"F3MC+GMW, Sector 18, Sarhol, Gurugram, Haryana 122015, India",5,1,OPERATIONAL,https://maps.google.com/?cid=12437351323705991922&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJwR0wRyUZDTkR8uI6DCJZmqw
TRANSPORT INDIA PASS,fast_food_restaurant,fast_food_restaurant|restaurant|food|point_of_interest|establishment,072900 00731,,"Shaheed Ripon Katyal Marg, Sarhaul, Sector 18, Gurugram, Haryana 122015, India",,,OPERATIONAL,https://maps.google.com/?cid=15555307316125719225&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ1eYQ6DgZDTkRuVq1pZaN39c
"Gurugram Project Division, CPWD office",local_government_office,local_government_office|government_office|point_of_interest|establishment,,,"84, Sector 18, Gurugram, Haryana 122015, India",,,OPERATIONAL,https://maps.google.com/?cid=536185576868151512&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJdYxqagAZDTkR2ADq-vDpcAc
SBI Branch State Bank Academy Campus 2,bank,bank|finance|point_of_interest|establishment,1800 1234,https://bank.sbi/,"State Bank Academy Campus 2, Plot No 79, Sector 18, Gurugram, Haryana 122015, India",3.3,7,OPERATIONAL,https://maps.google.com/?cid=6941674120684431018&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJIdpbMIIZDTkRqubqjdXHVWA
lendhill services & Engineering,,supplier|general_contractor|manufacturer|point_of_interest|service|establishment,081307 56566,,"Lendhill Services & Engineering Behind Sunpharma, Vill, Sarhaul, Sector 18, Gurugram, Haryana 122015, India",,,OPERATIONAL,https://maps.google.com/?cid=13921222356217035231&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJvWRsajAZDTkR3_mKpfkdMsE
Vijay General Store,general_store,general_store|food_store|store|food|point_of_interest|establishment,088512 03515,,"Shop No 01, Sector 18, F3Pc+8C8, Lane Number 6, Sarhaul, Gurugram Delhi NCR, Sector 18, Gurugram, Haryana 122015, India",3.3,4,OPERATIONAL,https://maps.google.com/?cid=1232548838949168209&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ9zPM_hAZDTkRUaTigaPkGhE
Gaye Mata Ki Rasoi,restaurant,restaurant|north_indian_restaurant|indian_restaurant|food|point_of_interest|establishment,072899 27974,https://magicpin.in/Gurgaon/Sector-18/Restaurant/Gaye-Mata-Ki-Rasoi/store/3ac6b8/?utm_source=gbp,"Plot 1A, Lane 2, near Sector 17, Sarhaul, Sector 18, Gurugram, Haryana 122015, India",2.9,24,OPERATIONAL,https://maps.google.com/?cid=4652770177483581426&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJfwfxm-4ZDTkR8qdwMtP1kUA
Jitendra Automobile Service,chauffeur_service,chauffeur_service|transportation_service|point_of_interest|establishment,075429 40702,,"90, Sarhaul, Sector 18, Gurugram, Haryana 122015, India",,,OPERATIONAL,https://maps.google.com/?cid=3105292127625908159&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ0x7nJ78ZDTkRv4_1zrw2GCs
Laxmanrao Inamdar National Academy For Cooperative Research And Development,,point_of_interest|establishment,098998 56157,https://www.ncdc.in/index.jsp?page=linac,"plot no 89, Sector 18, Gurugram, Haryana 122015, India",4.7,9,OPERATIONAL,https://maps.google.com/?cid=13576802234829942051&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJSZ_tAJ4ZDTkRI63EGLN9arw
C-PRAV Certification Services Private Limited,,point_of_interest|establishment,099023 85494,http://www.c-prav.com/,"90-B, 91Springboard, Jaipur - Delhi Expy, Sector 18, Gurugram, Haryana 122015, India",5,1,OPERATIONAL,https://maps.google.com/?cid=18073993733459001053&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ6a699lEZDTkR3b51W4q50_o
QuickDocs,consultant,lawyer|travel_agency|local_government_office|government_office|consultant|point_of_interest|service|establishment,099990 02343,,"91SpringBoard, Plot, 90B, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",4.8,230,OPERATIONAL,https://maps.google.com/?cid=17814649697482685489&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJCxOkgt8ZDTkRMbx5iINZOvc
adidas Outlet,sportswear_store,sportswear_store|sporting_goods_store|shoe_store|clothing_store|store|point_of_interest|establishment,011 2694 4264,https://www.adidas.co.in/,"Upper Ground Floor, Abul Fazal Part II, G-13A, Jasola, Sector 18, New Delhi, Gurugram, Delhi 110025, India",,,OPERATIONAL,https://maps.google.com/?cid=6221424704519922497&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJoVB3CYIZDTkRQeO_Zc7wVlY
Weekender Holidays,travel_agency,travel_agency|point_of_interest|service|establishment,088005 91097,https://www.weekenderholidays.com/,"Plot 23, Maruti Industrial Area, Sector 18, Gurugram, Haryana 122015, India",5,5,OPERATIONAL,https://maps.google.com/?cid=16601272548453128451&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJdd9bqMMZDTkRAxn-7WyRY-Y
Chandan Rai,service,point_of_interest|service|establishment,070561 77239,,"88, Jaipur - Delhi Expy, Sector 18, Sarhol, Gurugram, Haryana 122015, India",,,OPERATIONAL,https://maps.google.com/?cid=9498209844940639633&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJUSAGsAoZDTkRkQ3OwYdr0IM
