name,category,primary_type,phone_number,website,address,rating,reviews,maps_url
Gemini Architectural Design,manufacturer,,9910508457,http://www.geminiarchitectural.com/,"Arjan Garh Metro Station, Mehrauli-Gurgaon Rd, near HDFC ATM, Aya Nagar, New Delhi, Delhi 110047, India",4.1,70,https://maps.google.com/?cid=6609641747916177355&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ikOOji,manufacturer,manufacturer,9289749484,,"435, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",4.4,68,https://maps.google.com/?cid=18254668937994539146&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Royal Wood Furniture,manufacturer,manufacturer,9718189498,http://royalswoodfurniture.com/,"Shop No. 6, Shri Ram Market, Dlf Phase 3, Mehrauli Gurugram Road, Garden Estate, Nathupur, Gurugram, Haryana, 122002, Nathupur, Sector 24, Gurugram, Haryana 122010, India",2.8,66,https://maps.google.com/?cid=12493123884747662858&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Meatington,manufacturer,manufacturer,7415656741,http://meatington.com/,"223, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",4.8,65,https://maps.google.com/?cid=10824758019031915517&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
MWM Spaces Pvt. Ltd.,manufacturer,general_contractor,8587885885,http://www.mwmspaces.com/,"FF 57, Vyapar Kendra Rd, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.9,64,https://maps.google.com/?cid=2582341090308954018&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
TIS LIVING,manufacturer,manufacturer,9871012000,https://www.tisliving.com/,"Plot 101, 102, Plot number 105, Sarhaul, Sector 18, Sarhol, Gurugram, Haryana 122015, India",4.5,62,https://maps.google.com/?cid=7154203415377390421&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Lakkadworks - Luxury Interior Designers in Gurgaon,manufacturer,general_contractor,9999381022,http://www.lakkadworks.com/,"C2- 23A 3RD FLOOR, Block C2, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.7,54,https://maps.google.com/?cid=8061986096677409856&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Printing hub,manufacturer,manufacturer,9971601186,https://www.instagram.com/printinghubgurgaon/,"Shop N4, Gangania Complex, Mehrauli-Gurgaon Rd, opp. Main Market, near Metro Pillar No.61, Sikanderpur, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",4.6,54,https://maps.google.com/?cid=9860701909617095080&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Kapda Story,manufacturer,home_goods_store,9818134449,,"F-4/1, Golf Course Rd, Block F, DLF Phase 1, Sector 26A, Gurugram, Haryana 122002, India",4.5,50,https://maps.google.com/?cid=11278545417012399001&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
WITHIN,manufacturer,manufacturer,8800228312,http://www.within.net.in/,"Khasra no. 541, Mehrauli-Gurgaon Rd, Arjan Garh, Aya Nagar, Gurugram, New Delhi, Delhi 110047, India",4.6,48,https://maps.google.com/?cid=18056469441579534496&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
