name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
Somny Healthcare Pvt. Ltd.,health,health|point_of_interest|establishment,,https://somnyhealthcare.com/,"C3QV+G3MW, CH Baktawar Singh Rd, Medicity, Sector 38, Sector 52A, Gurugram, Haryana 122003, India",,,OPERATIONAL,https://maps.google.com/?cid=7111171402935888500&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJeWtk-N4ZDTkRdOro4Lb0r2I
Manik sk,apartment_building,apartment_building|service|point_of_interest|establishment,,,"C3QV+C34, Sector 52A, Gurugram, Haryana 122011, India",5,1,OPERATIONAL,https://maps.google.com/?cid=8208472501341216221&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJy3K1EgAZDTkR3V0B5z9a6nE
iykyk,housing_complex,housing_complex|service|point_of_interest|establishment,,,"C3QR+M9, Sector 52A, Gurugram, Haryana 122011, India",4,2,OPERATIONAL,https://maps.google.com/?cid=8351352642759939420&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ_ROvf3YZDTkRXNW5Mfv25XM
Eco restoration pathway,park,park|point_of_interest|establishment,,,"C3QV+7CW, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",4.3,29,OPERATIONAL,https://maps.google.com/?cid=12772795907994886911&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJHZgitI0ZDTkR_yKZhDQWQrE
Sarasota pointe,secondary_school,secondary_school|school|educational_institution|point_of_interest|establishment,,,"C3QV+V5H, Parsvnath Exotica, DLF Phase 5, Sector 52A, Gurugram, Haryana 122011, India",,,OPERATIONAL,https://maps.google.com/?cid=11249172884380455650&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJrbi4J5oZDTkR4hJ0PiMXHZw
"Sports Complex Wazirabad, Gurugram",sports_club,sports_club|association_or_organization|point_of_interest|establishment,,,"C3QR+F3P, Sector 52A, Gurugram, Haryana 122011, India",3.9,7,OPERATIONAL,https://maps.google.com/?cid=11953645301727781640&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJMw13UgAZDTkRCGOAnBHh46U
Ramlakhan Balloon Decoration,,point_of_interest|establishment,,,"Shop No - 16, Khatu Shyam Marg, near MRF Showroom, Wazirabad, Sector 52, Gurugram, Haryana 122011, India",,,CLOSED_TEMPORARILY,https://maps.google.com/?cid=1348380441367669451&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJE7HOpboYDTkRy-rNDd5othI
Asif,apartment_building,apartment_building|service|point_of_interest|establishment,,,"C3QV+WPJ, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",,,OPERATIONAL,https://maps.google.com/?cid=9843342681179576911&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ2YT4BZ0ZDTkRT1omKgSUmog
Parvati Bhawan 1975 sec 52 A,housing_complex,housing_complex|service|point_of_interest|establishment,,,"C3RR+366, Sector 52A, Gurugram, Haryana 122011, India",5,3,OPERATIONAL,https://maps.google.com/?cid=12982406185559627260&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJTSABKwAZDTkR_JUdXKTFKrQ
Saini Villa DLF 5,apartment_building,apartment_building|service|point_of_interest|establishment,,,"Plot 522C, Saraswati Kunj, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",5,3,OPERATIONAL,https://maps.google.com/?cid=1642868540351443262&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ6xa9YAAZDTkRPvFPsDukzBY
RamCabz,taxi_service,taxi_service|transportation_service|service|point_of_interest|establishment,,https://ramcabz.com/,"Plot number 522b, Saraswati Kunj Rd, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122002, India",5,4,OPERATIONAL,https://maps.google.com/?cid=6349837475725132711&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ_a-CrEoZDTkRp0MPkoonH1g
Bengali market,candy_store,candy_store|confectionery|food_store|store|point_of_interest|food|establishment,,,"C3RR+9MF, Sector 52A, Gurugram, Haryana 122011, India",4,1,OPERATIONAL,https://maps.google.com/?cid=11313213129822012284&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJZ41hNgAZDTkRfINTz2abAJ0
IndianOil,gas_station,gas_station|service|point_of_interest|establishment,098737 30777,https://locator.iocl.com/indianoil-shri-deep-petro-petrol-pump-sector-52a-gurugram-196267/Home?utm_source=locator&utm_medium=googleplaces,"Ground Floor, Sector 52A, Gurugram, Haryana 122011, India",4,434,OPERATIONAL,https://maps.google.com/?cid=5979288092176072450&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ4_j9TqUYDTkRAr_gF9ey-lI
Bishmber hada complex,housing_complex,housing_complex|service|point_of_interest|establishment,,,"C3RR+457, Sector 52A, Gurugram, Haryana 122011, India",,,OPERATIONAL,https://maps.google.com/?cid=2736089109709488036&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJozjpHAAZDTkRpH8MgoyK-CU
OYO LIFE GRG1769 Sector 54 Metro Stn,hotel,hotel|guest_house|inn|cottage|motel|lodging|service|point_of_interest|establishment,0124 620 1166,https://www.oyorooms.com/83985/,"paras hospital, 948, Saraswati Kunj 1, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",4,2,OPERATIONAL,https://maps.google.com/?cid=10859261582386768374&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJJaT-6FcZDTkR9qk11d_Ys5Y
Crowd Internet Marketing,service,service|point_of_interest|establishment,099719 32934,,"607 saraswati kunj, second floor, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",5,2,CLOSED_TEMPORARILY,https://maps.google.com/?cid=5460163106726820222&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJQ-l6hXIZDTkRfjklmGplxks
Shree Krishana PG,hotel,hotel|lodging|point_of_interest|establishment,,,"Saraswati Kunj, 606, Parsvnath Exotica, Sarswati Kunj II, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",4,6,OPERATIONAL,https://maps.google.com/?cid=8312148565510005485&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ8xe3An4ZDTkR7SJ_pxSvWnM
Giriraj Ji House,lodging,lodging|point_of_interest|establishment,,,"House No 267, Saraswati Kunj, Golf Course Road, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",5,5,OPERATIONAL,https://maps.google.com/?cid=10094229328755052160&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJB1PBvYUZDTkRgE7GzRfoFYw
Asha Speech & Hearing Clinic – Asha Agarwal | Top ENT & Audiologist at Sir Ganga Ram Hospital,health,doctor|store|health|service|association_or_organization|point_of_interest|establishment,088261 90768,,"Ground Floor, Saraswati Kunj, Plot no. 79, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122003, India",4.7,14,OPERATIONAL,https://maps.google.com/?cid=12319489121172467328&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJq__PZHEfDTkRgC7GkRWe96o
OYO LIFE GRG1761 Golf Course Road,hotel,hotel|guest_house|inn|cottage|motel|lodging|service|point_of_interest|establishment,0124 620 1166,https://www.oyorooms.com/83860/,"h no, 606, Parsvnath Exotica, Sarswati Kunj II, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",4.6,11,OPERATIONAL,https://maps.google.com/?cid=13951346973049920262&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJYQfAymAZDTkRBpvckickncE
OYO 85770 The Signature,hotel,hotel|guest_house|inn|cottage|motel|lodging|service|point_of_interest|establishment,0124 620 1166,https://www.oyorooms.com/169952/,"Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",,,OPERATIONAL,https://maps.google.com/?cid=11121953389750771362&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJYXVPD6EZDTkRot6LbK4dWZo
Surprise,gift_shop,gift_shop|store|point_of_interest|establishment,,,"Saraswati Kunj, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",,,CLOSED_TEMPORARILY,https://maps.google.com/?cid=14264695603293671377&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJiwgCB20ZDTkR0U9l1xJh9sU
"603, Saraswatikunj, sector 53",apartment_building,apartment_building|service|point_of_interest|establishment,,,"Saraswati Kunj, 606, Parsvnath Exotica, Sarswati Kunj II, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",,,OPERATIONAL,https://maps.google.com/?cid=8552699930806960811&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJe81epDsZDTkRq8JB3kVLsXY
HNO 561,association_or_organization,service|association_or_organization|point_of_interest|establishment,,,"Shop No. 15, Dhani Chowk, Parsvnath Exotica, DLF Phase 5, Sector 52, Gurugram, Haryana 122011, India",5,2,OPERATIONAL,https://maps.google.com/?cid=4864563106847382896&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJAxR2UQAZDTkRcN0bQ19mgkM
My Home,apartment_building,apartment_building|service|point_of_interest|establishment,,,"Shop No. 15, Dhani Chowk, Parsvnath Exotica, DLF Phase 5, Sector 52, Gurugram, Haryana 122011, India",,,OPERATIONAL,https://maps.google.com/?cid=7909671770088462747&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJu-D7JAAZDTkRm9kOUpHMxG0
OYO 69171 Hotel Good Look,hotel,hotel|guest_house|inn|cottage|motel|lodging|service|point_of_interest|establishment,0124 620 1166,https://www.oyorooms.com/94842,"634 h no 634 saraswati kunj, Golf Course Road opposite Vatika tower, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",4.1,7,OPERATIONAL,https://maps.google.com/?cid=14437247501352326282&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJAWMQqVkZDTkRilSAVBxoW8g
HITESH RAGHAV,private_guest_room,private_guest_room|lodging|point_of_interest|establishment,,,"634, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",5,1,OPERATIONAL,https://maps.google.com/?cid=3125029459920216021&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJKVSWFgAZDTkR1d8sl7xVXis
DR. KUNAL NIGAM,doctor,doctor|health|point_of_interest|establishment,,http://www.sanarhospitals.com/,"Sanar International Hospitals, OPD Room 1, Golf Course Rd, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",4.4,21,OPERATIONAL,https://maps.google.com/?cid=9932533181288008904&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJpbc05V8ZDTkRyMxztk1y14k
Door step girls pg,private_guest_room,private_guest_room|lodging|point_of_interest|establishment,092176 17960,http://www.doorsteppg.in/,"Saraswati Kunj, Plot 615, Golf Course Rd, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122002, India",5,6,OPERATIONAL,https://maps.google.com/?cid=6438139063314836637&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJKaajZgAZDTkRnWxyC17dWFk
Saraswati PG,hotel,hotel|lodging|point_of_interest|establishment,,,"Saraswati Kunj, 589, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",4.8,6,OPERATIONAL,https://maps.google.com/?cid=14801366245186999871&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJdWHB3WYZDTkRPxbU0i0Eac0
Naman tuition centre,educational_institution,educational_institution|point_of_interest|establishment,,,"549, Saraswati Kunj, Saraswati Kunj, 1, Golf Course Rd, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",,,OPERATIONAL,https://maps.google.com/?cid=4712786468045278592&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ00XboYIZDTkRgE0bwlIuZ0E
599 Saraswati Kunj,apartment_building,apartment_building|service|point_of_interest|establishment,,,"590, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",,,OPERATIONAL,https://maps.google.com/?cid=16637769762605126939&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ260aYU8ZDTkRG1XQynI75eY
The B&M Culinaire,indian_restaurant,indian_restaurant|restaurant|food|point_of_interest|establishment,,,"591, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",5,1,OPERATIONAL,https://maps.google.com/?cid=18217538550910950518&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJG6v7dgAZDTkRdhwImcqy0fw
Monu's home,apartment_building,apartment_building|service|point_of_interest|establishment,,,"Saraswati Kunj, 437, Parsvnath Exotica, Sarswati Kunj II, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",5,1,OPERATIONAL,https://maps.google.com/?cid=7174990080692581164&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ_Z6FgVQZDTkRLPOhsnavkmM
Lake View Park,park,park|point_of_interest|establishment,,,"SARASWATI KUNJ, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",4.1,9,OPERATIONAL,https://maps.google.com/?cid=10834253252382271006&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJrTDO3soZDTkRHqbdQu7_WpY
White house PG,point_of_interest,point_of_interest|establishment,,,"Plot no. 285, Saraswati Kunj Rd, behind lake, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122009, India",4.5,2,OPERATIONAL,https://maps.google.com/?cid=1161873507391177419&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJd7e7SQAZDTkRywL9kczNHxA
Slay Stayz Sector 53 Girls & Boys Pg,service,service|point_of_interest|establishment,099900 09280,,"285, Golf Crse Rd, Saraswati Kunj, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",4,8,CLOSED_TEMPORARILY,https://maps.google.com/?cid=18228417705787739125&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ7XSFq5oZDTkR9UvrOlNZ-Pw
Chauhan pg sector 53,service,service|point_of_interest|establishment,099115 02611,https://chauhan-coliving-pg.grexa.site/,"Plot no. 285, Saraswati Kunj Rd, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122002, India",4.7,15,OPERATIONAL,https://maps.google.com/?cid=8794313233115545270&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJRXtUSx8ZDTkRtn5ej0qtC3o
New Bhawesh Residency,apartment_building,apartment_building|service|point_of_interest|establishment,,,"289, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",5,2,OPERATIONAL,https://maps.google.com/?cid=16089898676539340707&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJc_7NVgAZDTkRo7cnL5nNSt8
Monga's Den,apartment_building,apartment_building|service|point_of_interest|establishment,,,"C3QX+C4F, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",,,OPERATIONAL,https://maps.google.com/?cid=1323025003631638682&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJV-24FgAZDTkRmnhsKjtUXBI
Yours PG CO-Living 284,service,service|point_of_interest|establishment,,,"H.NO-284, SARASWATI KUNJ, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",4.4,7,OPERATIONAL,https://maps.google.com/?cid=1029200996482856637&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJi17rxK8ZDTkRvbbWddp0SA4
VG PG,apartment_complex,apartment_complex|service|point_of_interest|establishment,,,"304, Saraswati Kunj Rd, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",,,OPERATIONAL,https://maps.google.com/?cid=16854414451785735691&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJyQ3bNAAZDTkRCx7mN6Xo5uk
Capital O Arkaya Near Bestech Central Square Mall,hotel,hotel|motel|cottage|guest_house|inn|lodging|service|point_of_interest|establishment,0124 620 1166,https://www.oyorooms.com/40227,"3, Saraswati Kunj 1, Parsvnath Exotica, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",4.1,68,OPERATIONAL,https://maps.google.com/?cid=2025020832328436902&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJdXp4WE0fDTkRpsyzzbdRGhw
OYO 23118 Spacious 2BHK,hotel,hotel|lodging|point_of_interest|establishment,0124 620 1166,https://www.oyorooms.com/h/45143?utm_source=Google_gmb&utm_medium=Organic&utm_campaign=GRG1125&latitude=28.43839&longitude=77.09787&locale=en,"585 G.F, Parsvnath Exotica, Sarswati Kunj II, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",4.7,3,OPERATIONAL,https://maps.google.com/?cid=15914958399298591082&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJi993gNUZDTkRatlP1VdK3dw
Paying Guest For Boys,guest_house,guest_house|lodging|point_of_interest|establishment,,,"Parsvnath Exotica, Sarswati Kunj II, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",3.6,18,OPERATIONAL,https://maps.google.com/?cid=14381992902177990856&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJWeyLXdYZDTkRyCiCcFgal8c
